edge_id,node_index,source_node_id,pos_x,pos_y,is_stop_only
S_-826551069#0,20502,7616444535,5121.29,4452.53,False
E_-826551069#0,20503,1641678758,5075.68,4454.21,False
S_-826551069#1,20504,7616444537,5157.89,4457.7,False
E_-826551069#1,20505,7616444535,5121.29,4452.53,False
S_-826578283,20506,7717519492,6329.3,3057.65,False
E_-826578283,20507,7717502074,6333.02,3065.99,False
S_-826578284#0,20508,2129028144,6334.19,3084.14,False
E_-826578284#0,20509,7717502074,6333.02,3065.99,False
S_-826578284#1,20510,7717502074,6333.02,3065.99,False
E_-826578284#1,20511,2129028144,6334.19,3084.14,False
S_-826594746#0,20512,266359525,5838.67,3547.36,False
E_-826594746#0,20513,7717641164,5849.92,3535.65,False
S_-826594748#0,20514,274078502,5669.03,3704.53,False
E_-826594748#0,20515,269095272,5708.34,3690.3,False
S_-826594748#1,20516,2381317158,5588.58,3825.6,False
E_-826594748#1,20517,274078502,5669.03,3704.53,False
S_-826594748#10,20518,271662946,5273.21,3990.62,False
E_-826594748#10,20519,271662948,5331.84,3963.55,False
S_-826594748#11,20520,274077910,5256.95,4009.99,False
E_-826594748#11,20521,271662946,5273.21,3990.62,False
S_-826594748#12,20522,274077703,5214.85,4052.95,False
E_-826594748#12,20523,274077910,5256.95,4009.99,False
S_-826594748#13,20524,274087738,5117.06,4126.5,False
E_-826594748#13,20525,274077703,5214.85,4052.95,False
S_-826594748#14,20526,271662940,5069.03,4178.31,False
E_-826594748#14,20527,274087738,5117.06,4126.5,False
S_-826594748#15,20528,274077876,5024.0,4251.45,False
E_-826594748#15,20529,271662940,5069.03,4178.31,False
S_-826594748#16,20530,274077694,4948.95,4314.21,False
E_-826594748#16,20531,274077876,5024.0,4251.45,False
S_-826594748#17,20532,cluster_1387938663_1387938676_1387938692_1387938693_1757124350_1757124352_255881112_7593411008,4860.61,4373.02,False
E_-826594748#17,20533,274077694,4948.95,4314.21,False
S_-826594748#2,20534,274078541,5495.15,3850.6,False
E_-826594748#2,20535,2381317158,5588.58,3825.6,False
S_-826594748#3,20536,cluster_1393740388_274078202_274078539_336359426,5403.03,3926.99,False
E_-826594748#3,20537,274078541,5495.15,3850.6,False
S_-826594748#7,20538,274078540,5377.26,3953.47,False
E_-826594748#7,20539,cluster_1393740388_274078202_274078539_336359426,5403.03,3926.99,False
S_-826594748#8,20540,1393740426,5355.17,3958.48,False
E_-826594748#8,20541,274078540,5377.26,3953.47,False
S_-826594748#9,20542,271662948,5331.84,3963.55,False
E_-826594748#9,20543,1393740426,5355.17,3958.48,False
S_-826596269,20544,2129028144,6334.19,3084.14,False
E_-826596269,20545,2129028150,6367.82,3108.0,False
S_-826596271,20546,2129028129,6325.51,3049.27,False
E_-826596271,20547,7717519492,6329.3,3057.65,False
S_-827713309#0,20548,7727245000,5877.77,3565.37,False
E_-827713309#0,20549,cluster_1636466402_1636466406,5870.98,3558.69,False
S_-827713310,20550,7727245000,5877.77,3565.37,False
E_-827713310,20551,7727245001,5953.51,3522.2,False
S_-831086942,20552,7759990921,2529.61,7214.83,False
E_-831086942,20553,1498857716,2566.62,7113.41,False
S_-831295614,20554,321329525,4837.01,7286.05,False
E_-831295614,20555,cluster_342148994_6995227286,4860.12,7324.68,False
S_-831295615,20556,321730718,4529.21,7263.23,False
E_-831295615,20557,321730781,4513.97,7239.64,False
S_-831295616,20558,321328887,4468.73,6913.73,False
E_-831295616,20559,321730725,4392.76,6961.16,False
S_-831295617,20560,321330023,4559.37,7476.53,False
E_-831295617,20561,321330022,4538.82,7440.09,False
S_-832481042#0,20562,7772221853,5183.99,6569.66,False
E_-832481042#0,20563,7772221849,5193.27,6551.36,False
S_-832481042#1,20564,7772221852,5152.21,6548.75,False
E_-832481042#1,20565,7772221853,5183.99,6569.66,False
S_-832481043,20566,2008814386,5172.66,6550.01,False
E_-832481043,20567,7772221853,5183.99,6569.66,False
S_-832481045#0,20568,7772233125,5251.14,6557.6,False
E_-832481045#0,20569,7772221856,5232.64,6569.2,False
S_-832481045#1,20570,7772221858,5266.75,6534.45,False
E_-832481045#1,20571,7772233125,5251.14,6557.6,False
S_-832481048,20572,2008814397,5420.96,6800.33,False
E_-832481048,20573,7194375774,5326.68,6716.47,False
S_-832481049,20574,3358485456,4780.79,7187.61,False
E_-832481049,20575,321729869,4875.06,7190.67,False
S_-832481056,20576,321730718,4529.21,7263.23,False
E_-832481056,20577,7772221872,4635.86,7206.09,False
S_-832481057,20578,7772221872,4635.86,7206.09,False
E_-832481057,20579,cluster_321730869_7772221876_7772221879,4670.32,7187.69,False
S_-83299769#0,20580,969209322,5708.79,5150.44,False
E_-83299769#0,20581,969209266,5711.8,5114.76,False
S_-83299769#1,20582,969209305,5701.08,5244.94,False
E_-83299769#1,20583,969209322,5708.79,5150.44,False
S_-83299775#0,20584,969209336,5743.99,5153.83,False
E_-83299775#0,20585,969209289,5747.63,5118.22,False
S_-83299775#1,20586,969209293,5734.64,5248.27,False
E_-83299775#1,20587,969209336,5743.99,5153.83,False
S_-83299777,20588,703495345,5556.59,5135.78,False
E_-83299777,20589,703495343,5560.52,5084.0,False
